timestamp,src_ip,dst_ip,protocol,src_port,dst_port,pkt_size,model,score
2026-04-05 00:31:39,52.104.17.25,192.168.1.23,6,443,46457,1304,IsolationForest,-0.5865
2026-04-05 00:31:39,52.104.17.25,192.168.1.23,6,443,46457,1304,IsolationForest,-0.5865
2026-04-05 00:31:39,52.104.17.25,192.168.1.23,6,443,46457,1304,IsolationForest,-0.5865
2026-04-05 00:31:39,52.104.17.25,192.168.1.23,6,443,46457,1304,IsolationForest,-0.5865
2026-04-05 00:31:40,52.104.17.25,192.168.1.23,6,443,46457,1125,IsolationForest,-0.5851
2026-04-05 00:31:40,52.104.17.25,192.168.1.23,6,443,46457,5054,IsolationForest,-0.6155
2026-04-05 00:31:41,20.189.173.6,192.168.1.23,6,443,46456,3804,IsolationForest,-0.579
2026-04-05 00:31:51,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.7272
2026-04-05 00:31:51,192.168.1.1,192.168.1.23,1,0,0,138,IsolationForest,-0.6167
2026-04-05 00:31:51,192.168.1.9,224.0.0.251,17,5353,5353,103,IsolationForest,-0.765
2026-04-05 00:31:52,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:52,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:52,192.168.1.23,224.0.0.252,17,64735,5355,75,IsolationForest,-0.7579
2026-04-05 00:31:52,192.168.1.23,224.0.0.252,17,64735,5355,75,IsolationForest,-0.7579
2026-04-05 00:31:52,192.168.1.28,224.0.0.252,17,58116,5355,75,IsolationForest,-0.7579
2026-04-05 00:31:53,192.168.1.28,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.28,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.7272
2026-04-05 00:31:53,192.168.1.1,192.168.1.23,1,0,0,138,IsolationForest,-0.6167
2026-04-05 00:31:53,192.168.1.23,224.0.0.252,17,64735,5355,75,IsolationForest,-0.7579
2026-04-05 00:31:53,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.28,224.0.0.252,17,58116,5355,75,IsolationForest,-0.7579
2026-04-05 00:31:53,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.23,224.0.0.252,17,54305,5355,75,IsolationForest,-0.7561
2026-04-05 00:31:53,192.168.1.28,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.23,224.0.0.22,2,0,0,54,IsolationForest,-0.6027
2026-04-05 00:31:53,192.168.1.28,224.0.0.252,17,50208,5355,75,IsolationForest,-0.6566
2026-04-05 00:31:54,192.168.1.28,224.0.0.252,17,50208,5355,75,IsolationForest,-0.6566
2026-04-05 00:31:54,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:31:56,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:31:57,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:31:59,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:31:59,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6661
2026-04-05 00:32:00,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:32:02,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:32:03,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6308
2026-04-05 00:32:11,192.168.1.9,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6704
2026-04-05 00:32:19,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6704
2026-04-05 00:32:31,192.168.1.9,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6704
2026-04-05 00:32:32,192.168.1.23,224.0.0.252,17,50682,5355,75,IsolationForest,-0.6177
2026-04-05 00:32:33,192.168.1.28,224.0.0.252,17,60787,5355,75,IsolationForest,-0.6171
2026-04-05 00:32:33,192.168.1.23,224.0.0.252,17,50682,5355,75,IsolationForest,-0.6177
2026-04-05 00:32:33,192.168.1.28,224.0.0.252,17,60787,5355,75,IsolationForest,-0.6171
2026-04-05 00:32:33,192.168.1.28,224.0.0.252,17,64539,5355,75,IsolationForest,-0.6414
2026-04-05 00:32:34,192.168.1.28,224.0.0.252,17,64539,5355,75,IsolationForest,-0.6414
2026-04-05 00:32:39,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6089
2026-04-05 00:32:39,20.189.173.6,192.168.1.23,6,443,45267,6304,IsolationForest,-0.6117
2026-04-05 00:32:40,20.189.173.23,192.168.1.23,6,443,34305,3804,IsolationForest,-0.6006
2026-04-05 00:32:44,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6077
2026-04-05 00:32:44,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6077
2026-04-05 00:32:45,192.168.1.10,224.0.0.251,17,5353,5353,103,IsolationForest,-0.6077
2026-04-05 00:33:06,20.231.53.73,192.168.1.23,6,443,47412,54,IsolationForest,-0.6202
2026-04-05 00:33:07,20.231.53.73,192.168.1.23,6,443,7332,54,IsolationForest,-0.6026
2026-04-05 00:33:14,192.168.1.28,224.0.0.252,17,57219,5355,75,IsolationForest,-0.5917
2026-04-05 00:33:21,40.79.173.41,192.168.1.23,6,443,25285,2554,IsolationForest,-0.5784
2026-04-05 00:33:21,20.50.80.213,192.168.1.23,6,443,25286,6304,IsolationForest,-0.6324
2026-04-05 00:33:51,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6134
2026-04-05 00:33:52,192.168.1.23,224.0.0.252,17,61438,5355,75,IsolationForest,-0.636
2026-04-05 00:33:52,192.168.1.23,224.0.0.252,17,61438,5355,75,IsolationForest,-0.636
2026-04-05 00:33:52,192.168.1.28,224.0.0.252,17,49696,5355,75,IsolationForest,-0.6108
2026-04-05 00:33:53,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6134
2026-04-05 00:33:53,192.168.1.23,224.0.0.252,17,61438,5355,75,IsolationForest,-0.636
2026-04-05 00:33:53,192.168.1.23,224.0.0.252,17,61438,5355,75,IsolationForest,-0.636
2026-04-05 00:33:53,192.168.1.28,224.0.0.252,17,49696,5355,75,IsolationForest,-0.6108
2026-04-05 00:33:53,192.168.1.28,224.0.0.252,17,62407,5355,75,IsolationForest,-0.6122
2026-04-05 00:33:54,192.168.1.28,224.0.0.252,17,62407,5355,75,IsolationForest,-0.6122
2026-04-05 00:33:54,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:33:55,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:33:57,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:33:59,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:34:00,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:34:02,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:34:03,192.168.1.23,192.168.1.1,17,137,137,110,IsolationForest,-0.6197
2026-04-05 00:34:23,40.74.79.222,192.168.1.23,6,443,21480,6304,IsolationForest,-0.6164
